jumlah_tanggungan,penghasilan,kondisi_rumah,layak_subsidi
7,7750299,sangat sederhana,1
5,5895257,tidak layak,0
3,7116471,layak,0
4,3943159,sangat sederhana,1
4,5157902,semi permanen,1
2,7106535,tidak layak,0
2,2996643,tidak layak,1
4,6095375,layak,1
5,1266707,layak,0
2,3906469,semi permanen,1
3,7297917,layak,0
2,9592351,tidak layak,1
3,9452805,layak,0
3,7822522,tidak layak,1
4,6576771,layak,1
7,4513884,tidak layak,1
1,9447853,layak,0
7,3719823,sangat sederhana,0
5,1455264,layak,0
3,5018447,layak,0
3,8990136,tidak layak,0
5,3941582,sangat sederhana,0
1,6043537,layak,0
1,9681938,sangat sederhana,1
7,5641210,sangat sederhana,0
3,9314856,tidak layak,1
1,2790468,layak,0
6,4595373,tidak layak,1
7,3444538,sangat sederhana,0
1,5569282,sangat sederhana,0
4,1243385,tidak layak,1
7,8044356,layak,0
6,4504815,sangat sederhana,0
1,7780661,layak,0
3,8244163,tidak layak,0
4,7613301,semi permanen,0
4,1548820,semi permanen,1
7,5070426,tidak layak,0
1,3560960,sangat sederhana,0
3,6049155,tidak layak,1
4,9112892,layak,0
3,3351110,tidak layak,1
7,2201023,tidak layak,0
5,1929602,sangat sederhana,1
6,6899141,layak,1
6,9997492,tidak layak,0
2,6815814,semi permanen,0
5,7326229,tidak layak,0
2,5806638,sangat sederhana,1
6,1981092,layak,0
7,9541486,tidak layak,1
6,1565422,semi permanen,1
1,6669599,tidak layak,1
5,3931579,tidak layak,1
6,8532428,layak,1
2,2784129,layak,1
6,9397933,semi permanen,0
7,5828966,layak,1
1,2976712,tidak layak,1
6,3061559,sangat sederhana,0
2,6793097,sangat sederhana,0
4,4789658,layak,0
2,5689998,semi permanen,1
6,6369282,semi permanen,1
1,9772374,layak,1
6,4317651,layak,1
3,3567378,layak,1
7,2078054,tidak layak,0
2,864243,tidak layak,0
6,1103780,tidak layak,0
1,6500050,tidak layak,0
6,2097006,layak,0
1,5158497,layak,1
7,1692743,layak,0
7,3158880,layak,0
3,4457809,tidak layak,0
4,3180890,tidak layak,1
2,4409326,tidak layak,1
5,4102042,tidak layak,1
7,7643560,layak,0
6,3358500,tidak layak,0
1,5048026,sangat sederhana,0
2,1353002,tidak layak,0
7,5799484,semi permanen,0
3,943669,semi permanen,0
2,5454103,semi permanen,1
1,2303759,layak,0
2,2401654,sangat sederhana,0
4,4437876,tidak layak,1
2,9365800,tidak layak,0
6,7955782,layak,0
6,4295423,tidak layak,1
4,3483522,sangat sederhana,1
1,3547464,sangat sederhana,0
4,7596589,layak,0
1,2330571,semi permanen,0
1,6402308,tidak layak,0
1,3654672,sangat sederhana,1
4,832904,semi permanen,0
7,5401039,semi permanen,0
4,5486359,semi permanen,1
6,6184825,tidak layak,0
4,1378535,layak,0
7,3478844,layak,0
3,9987857,sangat sederhana,0
6,8209061,semi permanen,1
2,9171245,semi permanen,1
4,6835555,layak,0
3,9978268,sangat sederhana,0
