penghasilan,jumlah_tanggungan,kondisi_rumah,status_pekerjaan,pendidikan,lama_tinggal_tahun,layak_subsidi
1284821,5,tidak layak,tidak bekerja,SMA,13,1
4753836,1,sederhana,PNS,Sarjana,1,0
4849033,1,layak,petani,SD,15,0
1133004,3,tidak layak,buruh harian,SMA,21,1
1769598,5,sederhana,tidak bekerja,SMP,8,1
1845474,5,sederhana,buruh harian,SD,16,1
1087955,4,tidak layak,petani,SD,20,1
1670688,2,sederhana,petani,SD,10,1
1910681,3,tidak layak,petani,SD,21,1
1994170,3,tidak layak,petani,SMA,14,1
1324912,4,sederhana,tidak bekerja,SD,3,1
1087955,4,tidak layak,petani,SD,20,1
1568302,3,tidak layak,tidak bekerja,SD,16,1
1488011,2,tidak layak,tidak bekerja,Sarjana,9,1
4385744,2,layak,petani,Diploma,10,0
4861099,5,tidak layak,buruh harian,SD,14,0
1967561,3,tidak layak,tidak bekerja,Diploma,29,1
2654753,1,sederhana,PNS,SMA,5,0
1280466,5,tidak layak,buruh harian,SD,17,1
1647341,3,tidak layak,tidak bekerja,SMP,29,1
1163834,3,sederhana,petani,SMP,1,1
3332811,4,tidak layak,petani,SMP,16,0
1783066,4,tidak layak,petani,SD,17,1
1952246,4,tidak layak,petani,SMP,23,1
1067661,2,tidak layak,karyawan,SMA,17,0
1825816,3,tidak layak,buruh harian,SD,21,1
3966201,5,tidak layak,PNS,SD,6,0
1116492,5,tidak layak,buruh harian,SMA,17,1
4757938,3,sederhana,karyawan,SMA,11,0
1571650,5,tidak layak,tidak bekerja,SMA,5,1
1065725,5,sederhana,tidak bekerja,SMP,21,1
1932817,5,tidak layak,tidak bekerja,Diploma,5,1
1638873,0,layak,PNS,SMP,16,0
3983241,2,sederhana,tidak bekerja,SMA,2,0
1066234,4,tidak layak,tidak bekerja,Sarjana,23,1
3892478,1,tidak layak,PNS,SMP,23,0
1426346,1,layak,wirausaha,Sarjana,24,0
3234489,4,layak,wirausaha,Sarjana,3,0
4948242,5,tidak layak,wirausaha,SMP,13,0
1188456,5,sederhana,tidak bekerja,SMA,9,1
4177993,4,tidak layak,tidak bekerja,Diploma,22,0
1932477,3,layak,petani,SD,21,0
1904098,4,tidak layak,petani,SD,4,1
1681669,3,sederhana,petani,SMA,3,1
1917040,3,tidak layak,tidak bekerja,SMA,14,1
4246417,1,sederhana,PNS,SMA,12,0
4888351,4,layak,buruh harian,SD,12,0
1649150,0,tidak layak,buruh harian,SMA,26,0
2034262,0,layak,wirausaha,SD,19,0
4635811,2,tidak layak,tidak bekerja,Sarjana,25,0
4403322,0,sederhana,karyawan,SMP,8,0
4520212,3,sederhana,petani,Sarjana,13,0
1928479,4,tidak layak,buruh harian,SMP,15,1
1978732,0,tidak layak,karyawan,SMP,27,0
1809178,5,sederhana,buruh harian,SMP,29,1
2968541,0,layak,PNS,SMA,12,0
1383152,3,sederhana,buruh harian,Diploma,18,1
1780926,5,sederhana,petani,SMA,6,1
1542015,5,sederhana,petani,SMA,23,1
1554594,4,layak,petani,SMP,24,0
1493948,4,tidak layak,tidak bekerja,SMA,21,1
2457640,1,tidak layak,wirausaha,Diploma,15,0
2447960,5,layak,petani,SMP,11,0
4251128,4,layak,buruh harian,SMA,10,0
1824690,2,tidak layak,petani,Diploma,24,1
1125149,2,sederhana,wirausaha,SMP,28,0
4096853,5,tidak layak,karyawan,SMA,15,0
1027712,4,sederhana,tidak bekerja,SD,15,1
4324323,3,tidak layak,wirausaha,SD,21,0
1707689,1,layak,PNS,SMA,12,0
1073869,4,tidak layak,buruh harian,SMA,7,1
1912727,2,tidak layak,buruh harian,Sarjana,8,1
1876110,4,sederhana,buruh harian,SMA,21,1
1876110,4,sederhana,buruh harian,SMA,21,1
1116492,5,tidak layak,buruh harian,SMA,17,1
1780926,5,sederhana,petani,SMA,6,1
1331593,3,sederhana,tidak bekerja,SD,22,1
4793700,3,sederhana,buruh harian,SMA,9,0
2093609,1,tidak layak,tidak bekerja,SD,16,0
3027410,1,layak,wirausaha,SMP,29,0
3519997,3,layak,karyawan,SMA,16,0
3233706,2,sederhana,tidak bekerja,Diploma,3,0
2969710,1,layak,wirausaha,SMA,19,0
1444191,5,tidak layak,tidak bekerja,SMP,28,1
2305794,4,tidak layak,tidak bekerja,SD,21,0
1137023,5,sederhana,buruh harian,SMP,1,1
1003051,5,tidak layak,petani,SMP,11,1
1870123,4,tidak layak,tidak bekerja,SD,19,1
3151061,1,tidak layak,karyawan,SD,14,0
2741093,5,sederhana,tidak bekerja,SMA,26,0
2567628,5,tidak layak,wirausaha,SMA,22,0
1573044,3,tidak layak,buruh harian,SD,13,1
1698956,3,sederhana,petani,SMA,14,1
1795600,4,tidak layak,buruh harian,SMP,1,1
1205768,2,tidak layak,buruh harian,SD,17,1
1068920,3,layak,tidak bekerja,SD,29,0
4789519,2,tidak layak,PNS,SMA,28,0
4101360,2,sederhana,petani,SD,18,0
1994170,3,tidak layak,petani,SMA,14,1
1331593,3,sederhana,tidak bekerja,SD,22,1
1497562,4,sederhana,petani,SMA,20,1
1953277,5,tidak layak,buruh harian,Diploma,4,1
1874772,4,tidak layak,tidak bekerja,SMP,28,1
2386652,1,sederhana,tidak bekerja,SMP,19,0
1187771,4,sederhana,buruh harian,Sarjana,25,1
1835036,5,sederhana,buruh harian,SMA,1,1
1767524,2,sederhana,tidak bekerja,Sarjana,9,1
1028625,5,tidak layak,petani,Sarjana,12,1
4176379,3,sederhana,wirausaha,SD,4,0
1002352,4,sederhana,buruh harian,SMA,21,1
1753315,4,sederhana,tidak bekerja,SMP,16,1
1003051,5,tidak layak,petani,SMP,11,1
4979017,1,tidak layak,tidak bekerja,Sarjana,16,0
1554399,4,tidak layak,buruh harian,SMA,24,1
1415384,5,tidak layak,buruh harian,SMA,11,1
3551314,0,sederhana,PNS,SMA,27,0
1838003,2,sederhana,tidak bekerja,SD,15,1
1342786,3,tidak layak,buruh harian,SMA,11,1
1568302,3,tidak layak,tidak bekerja,SD,16,1
1284821,5,tidak layak,tidak bekerja,SMA,13,1
1572735,5,sederhana,buruh harian,SMA,7,1
1073869,4,tidak layak,buruh harian,SMA,7,1
3002348,4,sederhana,tidak bekerja,Sarjana,23,0
1393574,3,sederhana,tidak bekerja,SMP,16,1
1896209,2,tidak layak,petani,SMA,11,1
2342057,1,tidak layak,tidak bekerja,Sarjana,2,0
1347739,3,tidak layak,petani,SMP,14,1
