nik_valid,memiliki_kk,domisili_tetap,data_ganda,masuk_dtks,status_perkawinan,pekerjaan_kepala_keluarga,jumlah_anggota_kk,usia_kepala_keluarga,layak_subsidi
ya,ya,ya,tidak,tidak,menikah,tidak bekerja,8,47,1
ya,ya,ya,tidak,tidak,menikah,wiraswasta,3,20,0
ya,ya,tidak,tidak,tidak,belum menikah,wiraswasta,3,62,0
ya,ya,ya,tidak,ya,janda/duda,petani,7,58,1
ya,ya,ya,ya,ya,menikah,petani,8,39,1
ya,ya,ya,tidak,ya,menikah,buruh,3,32,1
ya,ya,ya,tidak,ya,menikah,petani,3,43,1
ya,ya,ya,tidak,ya,menikah,tidak bekerja,6,64,1
ya,ya,ya,tidak,ya,menikah,tidak bekerja,6,28,1
ya,ya,ya,tidak,ya,menikah,tidak bekerja,4,54,1
ya,ya,ya,tidak,ya,janda/duda,buruh,5,43,1
ya,ya,ya,tidak,ya,menikah,buruh,6,59,1
ya,ya,ya,tidak,ya,menikah,buruh,4,52,1
ya,ya,ya,tidak,ya,menikah,petani,6,54,1
ya,ya,ya,tidak,tidak,belum menikah,wiraswasta,1,21,0
ya,ya,ya,ya,tidak,belum menikah,wiraswasta,1,39,0
ya,ya,ya,tidak,ya,menikah,buruh,8,52,1
ya,ya,ya,tidak,tidak,menikah,buruh,4,62,0
ya,ya,ya,ya,ya,menikah,tidak bekerja,3,28,1
ya,ya,ya,tidak,ya,janda/duda,buruh,7,61,1
ya,ya,ya,tidak,ya,menikah,petani,8,40,1
ya,ya,ya,tidak,tidak,belum menikah,pegawai,1,50,0
ya,ya,ya,tidak,ya,menikah,buruh,7,43,1
ya,ya,ya,tidak,ya,menikah,buruh,3,46,1
ya,ya,ya,tidak,tidak,menikah,wiraswasta,5,35,0
ya,ya,ya,tidak,ya,menikah,petani,6,54,1
ya,ya,tidak,tidak,tidak,belum menikah,buruh,2,44,0
ya,ya,ya,tidak,tidak,menikah,buruh,6,33,1
ya,ya,ya,tidak,tidak,menikah,pegawai,3,63,0
ya,ya,tidak,tidak,ya,janda/duda,buruh,4,52,1
ya,ya,ya,tidak,ya,menikah,buruh,7,26,1
ya,ya,ya,tidak,ya,menikah,petani,8,58,1
ya,ya,ya,tidak,ya,belum menikah,wiraswasta,2,43,0
ya,ya,ya,ya,tidak,menikah,pegawai,2,61,0
ya,ya,ya,tidak,tidak,menikah,buruh,8,47,1
ya,ya,tidak,tidak,ya,menikah,wiraswasta,5,56,0
ya,ya,ya,tidak,tidak,menikah,wiraswasta,3,54,0
ya,ya,ya,tidak,ya,menikah,buruh,1,23,0
ya,tidak,ya,tidak,tidak,menikah,pegawai,5,42,0
ya,ya,ya,tidak,ya,menikah,tidak bekerja,6,64,1
ya,ya,ya,tidak,tidak,belum menikah,pegawai,4,47,0
tidak,ya,ya,tidak,ya,menikah,pegawai,2,43,0
ya,ya,ya,tidak,ya,menikah,tidak bekerja,6,61,1
ya,ya,ya,tidak,ya,menikah,tidak bekerja,5,56,1
ya,ya,tidak,tidak,ya,menikah,buruh,4,28,1
ya,ya,ya,tidak,tidak,menikah,pegawai,2,49,0
