umur,status_pekerjaan,status_pernikahan
22,pengangguran,duda
18,wirausaha,belum menikah
67,wirausaha,janda
39,pekerja informal,belum menikah
76,buruh,menikah
34,pengangguran,duda
69,wirausaha,menikah
35,wirausaha,duda
77,pengangguran,belum menikah
45,pengangguran,menikah
20,pegawai tetap,menikah
64,buruh,menikah
48,wirausaha,belum menikah
41,wirausaha,cerai
18,pekerja informal,janda
53,wirausaha,duda
68,pegawai tetap,menikah
77,pengangguran,menikah
29,pengangguran,menikah
43,pekerja informal,belum menikah
19,pekerja informal,cerai
65,wirausaha,menikah
52,pegawai tetap,janda
29,pengangguran,menikah
20,wirausaha,belum menikah
53,pekerja informal,cerai
71,pegawai tetap,menikah
22,pengangguran,cerai
54,pegawai tetap,belum menikah
66,pegawai tetap,menikah
71,pengangguran,menikah
30,wirausaha,cerai
42,buruh,menikah
78,pegawai tetap,duda
65,pengangguran,janda
50,pegawai tetap,cerai
28,pengangguran,menikah
78,pengangguran,cerai
66,wirausaha,cerai
27,pekerja informal,belum menikah
52,pegawai tetap,cerai
66,pekerja informal,duda
70,buruh,belum menikah
22,pegawai tetap,menikah
74,pengangguran,janda
46,pegawai tetap,menikah
27,wirausaha,menikah
25,pegawai tetap,menikah
79,pekerja informal,menikah
38,pengangguran,janda
65,pengangguran,belum menikah
58,pekerja informal,belum menikah
71,pengangguran,duda
50,buruh,belum menikah
21,pengangguran,belum menikah
52,pegawai tetap,cerai
59,wirausaha,duda
61,pekerja informal,cerai
43,buruh,janda
47,pegawai tetap,menikah
66,buruh,cerai
72,pengangguran,cerai
76,pekerja informal,janda
44,buruh,janda
71,pekerja informal,belum menikah
39,wirausaha,cerai
39,wirausaha,cerai
58,pengangguran,belum menikah
28,pegawai tetap,janda
45,buruh,cerai
76,buruh,belum menikah
25,pegawai tetap,menikah
49,buruh,cerai
79,pegawai tetap,belum menikah
53,pengangguran,menikah
72,buruh,belum menikah
69,buruh,menikah
52,buruh,duda
64,pengangguran,duda
60,pekerja informal,belum menikah
70,wirausaha,cerai
36,wirausaha,duda
41,pegawai tetap,duda
21,pekerja informal,janda
77,pekerja informal,belum menikah
24,pegawai tetap,cerai
42,pekerja informal,belum menikah
69,buruh,duda
24,buruh,cerai
79,pegawai tetap,belum menikah
62,buruh,duda
41,buruh,janda
54,pekerja informal,janda
39,buruh,duda
32,pekerja informal,janda
37,buruh,belum menikah
39,wirausaha,menikah
69,buruh,belum menikah
58,pekerja informal,cerai
37,pegawai tetap,belum menikah
39,pekerja informal,janda
45,pegawai tetap,belum menikah
60,pegawai tetap,menikah
67,buruh,duda
24,pekerja informal,belum menikah
34,buruh,menikah
34,buruh,menikah
62,wirausaha,cerai
32,pekerja informal,cerai
79,pengangguran,janda
57,pegawai tetap,belum menikah
46,pengangguran,janda
77,pengangguran,belum menikah
49,wirausaha,cerai
35,wirausaha,duda
69,wirausaha,cerai
51,buruh,duda
23,pengangguran,cerai
31,pengangguran,cerai
26,buruh,menikah
18,buruh,duda
69,pekerja informal,janda
72,pegawai tetap,belum menikah
27,pegawai tetap,janda
22,pegawai tetap,belum menikah
64,pekerja informal,menikah
24,wirausaha,duda
62,wirausaha,belum menikah
61,pekerja informal,cerai
41,wirausaha,belum menikah
43,buruh,cerai
38,pengangguran,menikah
39,pegawai tetap,duda
42,wirausaha,menikah
54,pekerja informal,janda
46,pekerja informal,janda
41,pengangguran,janda
54,pegawai tetap,cerai
45,pegawai tetap,duda
36,pengangguran,janda
43,wirausaha,duda
40,pekerja informal,duda
41,pegawai tetap,duda
58,pengangguran,menikah
77,pekerja informal,cerai
42,pegawai tetap,cerai
51,buruh,janda
26,wirausaha,menikah
27,pengangguran,duda
77,pengangguran,belum menikah
62,buruh,cerai
65,pegawai tetap,menikah
23,pekerja informal,cerai
46,pekerja informal,cerai
39,pegawai tetap,duda
60,buruh,cerai
42,pengangguran,duda
40,buruh,janda
42,pegawai tetap,belum menikah
69,pekerja informal,janda
22,pengangguran,cerai
60,buruh,menikah
52,buruh,duda
78,pekerja informal,menikah
46,wirausaha,cerai
53,pekerja informal,duda
35,buruh,cerai
70,pengangguran,belum menikah
68,wirausaha,menikah
44,wirausaha,cerai
78,pegawai tetap,menikah
49,wirausaha,cerai
68,pengangguran,janda
51,pekerja informal,menikah
45,pengangguran,duda
48,wirausaha,janda
38,pekerja informal,duda
71,buruh,menikah
23,pekerja informal,duda
34,pekerja informal,duda
53,pekerja informal,janda
38,pengangguran,janda
44,wirausaha,cerai
62,pegawai tetap,duda
65,buruh,menikah
41,pekerja informal,janda
51,buruh,belum menikah
61,buruh,duda
52,pekerja informal,belum menikah
41,pengangguran,cerai
33,wirausaha,duda
27,wirausaha,cerai
21,buruh,menikah
51,pengangguran,belum menikah
64,pekerja informal,janda
76,buruh,menikah
67,wirausaha,belum menikah
69,wirausaha,cerai
40,buruh,menikah
71,pengangguran,cerai
60,pegawai tetap,janda
27,wirausaha,duda
30,pekerja informal,duda
31,wirausaha,cerai
58,pekerja informal,duda
78,wirausaha,cerai
76,wirausaha,menikah
79,pegawai tetap,cerai
48,pengangguran,janda
66,pengangguran,janda
46,buruh,cerai
39,wirausaha,janda
63,wirausaha,janda
66,pengangguran,menikah
74,pengangguran,janda
78,wirausaha,duda
24,pekerja informal,belum menikah
49,pegawai tetap,menikah
48,wirausaha,menikah
25,wirausaha,menikah
74,pegawai tetap,janda
63,buruh,belum menikah
44,buruh,menikah
74,wirausaha,duda
41,buruh,belum menikah
19,wirausaha,menikah
27,buruh,duda
61,pengangguran,cerai
43,buruh,duda
70,pegawai tetap,belum menikah
59,pekerja informal,menikah
51,pengangguran,menikah
24,pekerja informal,janda
61,pegawai tetap,janda
37,pengangguran,janda
34,buruh,belum menikah
61,buruh,duda
51,pekerja informal,menikah
43,pekerja informal,belum menikah
41,pengangguran,belum menikah
58,pegawai tetap,duda
46,pekerja informal,menikah
53,buruh,belum menikah
52,wirausaha,duda
49,pegawai tetap,duda
49,pegawai tetap,janda
50,pengangguran,janda
69,buruh,cerai
45,wirausaha,duda
68,pekerja informal,cerai
34,pengangguran,cerai
78,pegawai tetap,menikah
68,pekerja informal,menikah
24,buruh,duda
57,buruh,duda
22,pegawai tetap,cerai
27,pekerja informal,belum menikah
54,pegawai tetap,duda
79,pengangguran,duda
24,pegawai tetap,menikah
34,buruh,menikah
54,pegawai tetap,duda
78,pengangguran,janda
40,pekerja informal,belum menikah
50,pegawai tetap,janda
38,pengangguran,menikah
61,pengangguran,duda
46,buruh,duda
40,pengangguran,belum menikah
37,pekerja informal,menikah
29,pengangguran,duda
24,pekerja informal,duda
41,pegawai tetap,cerai
74,wirausaha,duda
51,wirausaha,menikah
32,pegawai tetap,belum menikah
54,pegawai tetap,belum menikah
23,pekerja informal,cerai
19,buruh,menikah
49,pengangguran,menikah
76,pekerja informal,menikah
42,wirausaha,belum menikah
50,pengangguran,janda
68,pengangguran,duda
78,buruh,janda
20,pekerja informal,cerai
57,buruh,janda
