umur,status_pekerjaan,status_pernikahan
72,pengangguran,belum menikah
41,buruh,janda
77,pekerja informal,menikah
66,wirausaha,menikah
31,pegawai tetap,cerai
32,buruh,duda
21,pekerja informal,duda
34,karyawan tetap,menikah
48,pegawai tetap,duda
67,pns,duda
75,wirausaha,janda
51,karyawan tetap,cerai
69,buruh,cerai
69,wirausaha,menikah
79,karyawan tetap,cerai
73,karyawan tetap,menikah
66,pns,belum menikah
76,karyawan tetap,belum menikah
71,buruh,belum menikah
58,buruh,janda
31,pegawai tetap,janda
44,pengangguran,cerai
33,pns,belum menikah
65,pengangguran,duda
19,wirausaha,menikah
52,pekerja informal,duda
33,pns,belum menikah
79,buruh,cerai
39,karyawan tetap,duda
18,pegawai tetap,duda
67,buruh,belum menikah
30,buruh,cerai
29,pengangguran,duda
57,pekerja informal,duda
67,pegawai tetap,cerai
60,wirausaha,belum menikah
46,pengangguran,duda
46,karyawan tetap,belum menikah
70,pengangguran,duda
60,wirausaha,janda
34,karyawan tetap,cerai
56,pns,cerai
64,wirausaha,menikah
68,pengangguran,duda
63,pegawai tetap,belum menikah
66,pns,janda
70,karyawan tetap,duda
51,wirausaha,belum menikah
35,pekerja informal,cerai
42,pns,janda
47,buruh,cerai
25,pengangguran,duda
45,karyawan tetap,menikah
18,pegawai tetap,menikah
72,pengangguran,duda
24,buruh,belum menikah
20,pegawai tetap,janda
50,buruh,janda
77,buruh,menikah
52,pegawai tetap,duda
19,pekerja informal,belum menikah
64,wirausaha,menikah
43,pekerja informal,belum menikah
56,pekerja informal,janda
33,karyawan tetap,cerai
63,pekerja informal,janda
75,wirausaha,duda
66,karyawan tetap,duda
60,pengangguran,janda
28,pns,cerai
37,pengangguran,janda
42,pns,janda
28,pegawai tetap,cerai
39,wirausaha,cerai
20,pekerja informal,belum menikah
38,pekerja informal,janda
54,buruh,duda
71,buruh,duda
43,pengangguran,menikah
78,pengangguran,belum menikah
56,buruh,duda
51,pengangguran,janda
45,buruh,belum menikah
44,pns,janda
52,pekerja informal,menikah
56,pns,belum menikah
33,pengangguran,janda
29,pekerja informal,duda
27,pns,janda
52,wirausaha,cerai
51,karyawan tetap,menikah
40,karyawan tetap,menikah
75,buruh,duda
72,pegawai tetap,cerai
33,wirausaha,cerai
26,pns,janda
71,pengangguran,belum menikah
78,karyawan tetap,duda
36,buruh,cerai
76,pekerja informal,belum menikah
49,buruh,duda
43,pns,menikah
61,pengangguran,janda
64,pekerja informal,duda
74,pekerja informal,belum menikah
48,pekerja informal,duda
63,wirausaha,janda
23,buruh,janda
33,pns,cerai
64,buruh,belum menikah
50,karyawan tetap,belum menikah
67,pekerja informal,duda
43,pengangguran,belum menikah
30,karyawan tetap,menikah
78,pegawai tetap,cerai
52,pengangguran,cerai
73,pekerja informal,duda
35,karyawan tetap,janda
67,pengangguran,duda
73,pegawai tetap,janda
25,buruh,menikah
36,pekerja informal,menikah
47,wirausaha,belum menikah
52,wirausaha,menikah
62,pegawai tetap,cerai
41,wirausaha,menikah
47,wirausaha,menikah
76,karyawan tetap,janda
44,pegawai tetap,janda
72,karyawan tetap,cerai
24,karyawan tetap,cerai
54,pengangguran,belum menikah
21,wirausaha,duda
44,karyawan tetap,menikah
48,pengangguran,cerai
49,pengangguran,belum menikah
18,pekerja informal,cerai
21,pegawai tetap,cerai
24,pns,cerai
53,pns,cerai
58,wirausaha,janda
27,pegawai tetap,duda
49,pengangguran,menikah
78,wirausaha,cerai
49,buruh,menikah
21,wirausaha,duda
21,pekerja informal,cerai
26,pengangguran,belum menikah
30,wirausaha,duda
20,pns,cerai
75,pegawai tetap,menikah
42,pengangguran,belum menikah
18,pegawai tetap,cerai
58,pegawai tetap,cerai
65,pns,menikah
67,pengangguran,janda
69,buruh,janda
40,wirausaha,cerai
66,pegawai tetap,janda
25,buruh,belum menikah
40,karyawan tetap,cerai
20,pegawai tetap,belum menikah
25,buruh,belum menikah
68,pns,menikah
25,buruh,cerai
66,pengangguran,janda
32,wirausaha,belum menikah
37,pengangguran,cerai
47,buruh,duda
62,pegawai tetap,cerai
26,pegawai tetap,cerai
73,karyawan tetap,cerai
61,pns,duda
75,buruh,cerai
28,pengangguran,duda
48,pns,menikah
42,buruh,menikah
65,wirausaha,duda
35,pns,belum menikah
20,pns,duda
41,pekerja informal,cerai
65,buruh,menikah
60,pns,duda
51,wirausaha,belum menikah
43,pekerja informal,duda
55,pns,duda
53,buruh,janda
68,buruh,menikah
24,pns,duda
62,pns,menikah
71,pns,menikah
44,pengangguran,duda
19,pekerja informal,janda
43,karyawan tetap,belum menikah
23,pengangguran,cerai
63,buruh,belum menikah
58,wirausaha,cerai
69,wirausaha,menikah
44,karyawan tetap,janda
66,karyawan tetap,janda
48,buruh,cerai
76,pns,menikah
47,pegawai tetap,duda
57,buruh,belum menikah
66,buruh,janda
53,wirausaha,janda
47,pns,menikah
66,buruh,janda
51,buruh,belum menikah
74,pekerja informal,cerai
44,pegawai tetap,menikah
32,karyawan tetap,menikah
40,pns,duda
18,pegawai tetap,cerai
73,karyawan tetap,cerai
20,pegawai tetap,duda
21,pekerja informal,janda
71,pns,janda
51,buruh,duda
35,pekerja informal,menikah
28,pengangguran,cerai
62,pekerja informal,menikah
69,wirausaha,duda
38,pegawai tetap,menikah
36,pengangguran,menikah
60,pekerja informal,duda
34,pegawai tetap,menikah
75,wirausaha,duda
46,pengangguran,duda
52,pegawai tetap,duda
65,buruh,duda
52,pekerja informal,cerai
78,pengangguran,cerai
34,buruh,janda
51,wirausaha,cerai
31,wirausaha,belum menikah
36,wirausaha,janda
35,wirausaha,belum menikah
58,pekerja informal,janda
20,pegawai tetap,cerai
24,buruh,janda
36,pegawai tetap,duda
51,pengangguran,duda
47,karyawan tetap,duda
31,buruh,janda
77,buruh,duda
69,buruh,cerai
54,wirausaha,belum menikah
19,buruh,menikah
51,wirausaha,janda
76,karyawan tetap,cerai
28,karyawan tetap,belum menikah
70,buruh,janda
42,pekerja informal,cerai
74,pegawai tetap,belum menikah
45,wirausaha,belum menikah
78,pengangguran,janda
31,pekerja informal,belum menikah
32,wirausaha,duda
78,pegawai tetap,duda
42,karyawan tetap,belum menikah
33,pekerja informal,belum menikah
40,pengangguran,janda
45,pekerja informal,janda
35,pekerja informal,duda
67,pns,cerai
44,wirausaha,menikah
69,pekerja informal,janda
41,wirausaha,menikah
31,pengangguran,janda
61,pns,duda
