jumlah_tanggungan,penghasilan,kondisi_rumah,layak_subsidi
7,7795617,tidak layak,0
7,5233478,sangat sederhana,1
5,7722930,semi permanen,0
4,7749259,tidak layak,0
0,3940021,tidak layak,1
4,8748779,layak,0
9,3659451,tidak layak,1
0,2182018,tidak layak,1
7,5320778,semi permanen,1
3,9858146,sangat sederhana,0
1,4357752,tidak layak,1
8,7611188,sangat sederhana,0
7,6075457,layak,0
5,1311558,tidak layak,1
4,2180639,layak,1
5,6616551,semi permanen,0
3,3805747,sangat sederhana,1
7,8216016,sangat sederhana,0
6,6051201,semi permanen,0
1,2464931,tidak layak,1
7,1829455,tidak layak,1
2,6828901,tidak layak,0
8,5866189,layak,1
2,7972483,semi permanen,0
2,5409281,semi permanen,0
7,4275109,semi permanen,1
3,1919683,sangat sederhana,1
3,9898388,layak,0
4,6924224,layak,0
1,9594571,semi permanen,0
4,2665026,layak,1
6,8432489,sangat sederhana,0
1,7904687,semi permanen,0
1,7872250,semi permanen,0
5,8164545,tidak layak,0
9,2358872,sangat sederhana,1
5,2454086,layak,1
2,6919472,tidak layak,0
5,8654912,layak,0
2,1478176,sangat sederhana,1
8,7873309,tidak layak,0
9,9042414,tidak layak,0
9,4315109,tidak layak,1
5,2303559,tidak layak,1
7,8327050,sangat sederhana,0
7,4981731,layak,1
4,2878369,semi permanen,1
5,5562679,semi permanen,1
6,3092710,tidak layak,1
8,9553336,semi permanen,0
4,7152984,layak,0
3,6385270,semi permanen,0
9,6502760,tidak layak,0
4,8853778,sangat sederhana,0
8,8996200,sangat sederhana,0
6,7238302,semi permanen,0
0,5490124,sangat sederhana,0
5,3825584,tidak layak,1
5,5926087,layak,1
6,8771969,tidak layak,0
1,6970899,layak,0
3,6617169,layak,0
7,4057945,layak,1
1,4661158,layak,0
3,7777691,sangat sederhana,0
5,5820760,tidak layak,1
7,9528350,tidak layak,0
0,9433867,sangat sederhana,0
7,4757753,semi permanen,1
8,5822389,layak,1
1,5916331,semi permanen,0
8,7487290,tidak layak,0
0,8784293,semi permanen,0
7,8818075,layak,0
2,5877315,tidak layak,0
8,7796555,sangat sederhana,0
0,2394537,sangat sederhana,1
0,1977641,semi permanen,1
6,2081678,sangat sederhana,1
8,7035758,sangat sederhana,0
5,5751819,tidak layak,1
5,9200862,semi permanen,0
4,5896079,tidak layak,0
7,6558089,layak,0
1,1793620,sangat sederhana,1
5,1123471,semi permanen,1
3,9104032,layak,0
2,6286903,sangat sederhana,0
3,7204607,semi permanen,0
6,4427375,sangat sederhana,1
7,4546791,layak,1
7,9754510,layak,0
4,4864895,layak,0
0,6208307,tidak layak,0
7,4450037,layak,1
0,9459370,layak,0
5,8479270,tidak layak,0
9,1704478,sangat sederhana,1
0,2568049,sangat sederhana,1
5,2750840,layak,1
0,4633392,semi permanen,1
5,9430272,semi permanen,0
7,6615690,tidak layak,0
8,9714330,tidak layak,0
9,6862602,layak,0
9,7487078,tidak layak,0
9,1936116,semi permanen,1
4,7472386,layak,0
6,3580587,layak,1
0,6843194,semi permanen,0
3,5207954,sangat sederhana,0
2,1450243,semi permanen,1
8,6990480,semi permanen,0
1,5787088,sangat sederhana,0
2,9241291,semi permanen,0
5,1171896,layak,1
0,9868071,sangat sederhana,0
3,9018419,layak,0
7,2231331,tidak layak,1
1,5053860,layak,0
5,4597679,tidak layak,1
1,7681241,layak,0
8,9821811,sangat sederhana,0
5,8551978,layak,0
4,7485535,tidak layak,0
2,5979455,layak,0
4,1007063,semi permanen,1
0,1677562,tidak layak,1
7,4286224,semi permanen,1
8,8329615,semi permanen,0
2,6016075,tidak layak,0
2,5368525,layak,0
4,7816642,sangat sederhana,0
4,3314285,tidak layak,1
8,4793294,semi permanen,1
3,7370605,tidak layak,0
5,6918024,semi permanen,0
1,8131815,layak,0
1,4930582,semi permanen,1
8,9284264,tidak layak,0
8,8833321,sangat sederhana,0
1,6661017,layak,0
3,4669376,layak,0
4,8062481,semi permanen,0
7,7395817,semi permanen,0
2,3867076,tidak layak,1
5,5635780,tidak layak,1
0,5330431,sangat sederhana,0
0,4342728,layak,0
4,8850907,semi permanen,0
9,9290123,layak,0
6,2355234,sangat sederhana,1
8,3083613,semi permanen,1
3,2402747,layak,0
4,4983313,tidak layak,1
3,4904945,semi permanen,1
2,8654993,layak,0
0,6311012,layak,0
2,4119378,sangat sederhana,1
8,7208866,tidak layak,0
3,6610074,layak,0
7,4761547,sangat sederhana,1
5,5151251,layak,1
9,3239359,tidak layak,1
7,9846879,layak,0
6,6107780,sangat sederhana,0
8,7072128,semi permanen,0
0,9266184,tidak layak,0
2,8991964,tidak layak,0
5,4475954,semi permanen,1
0,2229008,layak,0
9,4667584,sangat sederhana,1
4,8062347,tidak layak,0
1,2889782,sangat sederhana,1
9,9838189,sangat sederhana,0
1,3597358,semi permanen,1
5,5936395,layak,1
6,9435259,semi permanen,0
9,9905478,semi permanen,0
1,8511889,layak,0
6,7963271,tidak layak,0
6,6654761,semi permanen,0
0,6306226,tidak layak,0
8,9867577,tidak layak,0
8,2337828,tidak layak,1
4,6192887,semi permanen,0
9,8247657,layak,0
1,7091167,layak,0
2,3327114,layak,0
1,3322934,semi permanen,1
8,3740543,sangat sederhana,1
5,6744793,sangat sederhana,0
3,9104139,sangat sederhana,0
8,8667793,semi permanen,0
8,4500358,layak,1
8,8890996,tidak layak,0
0,5225140,tidak layak,0
3,1449615,tidak layak,1
3,6428732,sangat sederhana,0
7,1640466,semi permanen,1
8,6514709,layak,0
1,5158897,semi permanen,0
8,3202857,semi permanen,1
2,3897718,layak,0
0,2713931,tidak layak,1
4,2783889,sangat sederhana,1
8,3778140,sangat sederhana,1
9,3305957,layak,1
0,7347242,semi permanen,0
7,8895856,semi permanen,0
7,4243589,tidak layak,1
1,4501550,layak,0
6,1741694,layak,1
5,8525197,semi permanen,0
5,8852997,semi permanen,0
4,8169820,semi permanen,0
8,8609956,semi permanen,0
5,5638455,layak,1
8,9468648,layak,0
5,2882470,semi permanen,1
4,5942515,layak,0
3,5484313,layak,0
9,6611958,tidak layak,0
0,1218256,sangat sederhana,1
7,4472521,semi permanen,1
3,7377337,semi permanen,0
0,3529665,layak,0
5,9396443,layak,0
4,7879565,sangat sederhana,0
6,5617747,layak,1
9,3603990,tidak layak,1
4,3583058,tidak layak,1
5,2933162,tidak layak,1
5,7733620,layak,0
5,9027745,tidak layak,0
1,3977446,sangat sederhana,1
2,5450534,sangat sederhana,0
9,8258559,semi permanen,0
6,9748508,layak,0
3,7769542,sangat sederhana,0
6,3489812,tidak layak,1
3,7547623,tidak layak,0
2,4570040,layak,0
5,5181790,layak,1
6,6646232,tidak layak,0
3,1858139,sangat sederhana,1
1,8336998,sangat sederhana,0
4,1824375,tidak layak,1
8,4916437,layak,1
2,6309858,sangat sederhana,0
9,8588147,tidak layak,0
1,9988297,layak,0
5,7645904,tidak layak,0
1,9716746,layak,0
9,3230791,tidak layak,1
3,7518119,sangat sederhana,0
5,8241311,tidak layak,0
5,1622234,semi permanen,1
3,9840507,sangat sederhana,0
6,1676625,sangat sederhana,1
1,6952237,semi permanen,0
1,6536390,sangat sederhana,0
5,6028561,sangat sederhana,0
6,6153146,tidak layak,0
4,7529959,sangat sederhana,0
9,7155316,semi permanen,0
2,1283586,sangat sederhana,1
6,5136081,sangat sederhana,1
6,9534473,tidak layak,0
