umur,status_pekerjaan,status_pernikahan,layak_subsidi
72,pengangguran,belum menikah,0
41,buruh,janda,0
77,pekerja informal,menikah,0
66,wirausaha,menikah,0
31,pegawai tetap,cerai,0
32,buruh,duda,0
21,pekerja informal,duda,0
34,karyawan tetap,menikah,0
48,pegawai tetap,duda,0
67,pns,duda,0
75,wirausaha,janda,0
51,karyawan tetap,cerai,0
69,buruh,cerai,1
69,wirausaha,menikah,0
79,karyawan tetap,cerai,0
73,karyawan tetap,menikah,0
66,pns,belum menikah,0
76,karyawan tetap,belum menikah,0
71,buruh,belum menikah,0
58,buruh,janda,0
31,pegawai tetap,janda,0
44,pengangguran,cerai,0
33,pns,belum menikah,0
65,pengangguran,duda,0
19,wirausaha,menikah,0
52,pekerja informal,duda,0
33,pns,belum menikah,0
79,buruh,cerai,1
39,karyawan tetap,duda,0
18,pegawai tetap,duda,0
67,buruh,belum menikah,0
30,buruh,cerai,0
29,pengangguran,duda,0
57,pekerja informal,duda,0
67,pegawai tetap,cerai,0
60,wirausaha,belum menikah,1
46,pengangguran,duda,0
46,karyawan tetap,belum menikah,0
70,pengangguran,duda,1
60,wirausaha,janda,1
34,karyawan tetap,cerai,0
56,pns,cerai,0
64,wirausaha,menikah,0
68,pengangguran,duda,1
63,pegawai tetap,belum menikah,0
66,pns,janda,0
70,karyawan tetap,duda,0
51,wirausaha,belum menikah,0
35,pekerja informal,cerai,0
42,pns,janda,0
47,buruh,cerai,0
25,pengangguran,duda,0
45,karyawan tetap,menikah,0
18,pegawai tetap,menikah,0
72,pengangguran,duda,1
24,buruh,belum menikah,0
20,pegawai tetap,janda,0
50,buruh,janda,0
77,buruh,menikah,0
52,pegawai tetap,duda,0
19,pekerja informal,belum menikah,0
64,wirausaha,menikah,0
43,pekerja informal,belum menikah,0
56,pekerja informal,janda,0
33,karyawan tetap,cerai,0
63,pekerja informal,janda,0
75,wirausaha,duda,0
66,karyawan tetap,duda,0
60,pengangguran,janda,0
28,pns,cerai,0
37,pengangguran,janda,0
42,pns,janda,0
28,pegawai tetap,cerai,0
39,wirausaha,cerai,0
20,pekerja informal,belum menikah,0
38,pekerja informal,janda,0
54,buruh,duda,0
71,buruh,duda,1
43,pengangguran,menikah,0
78,pengangguran,belum menikah,0
56,buruh,duda,0
51,pengangguran,janda,0
